DATE,USREC
1854-12-01,1
1855-01-01,0
1855-02-01,0
1855-03-01,0
1855-04-01,0
1855-05-01,0
1855-06-01,0
1855-07-01,0
1855-08-01,0
1855-09-01,0
1855-10-01,0
1855-11-01,0
1855-12-01,0
1856-01-01,0
1856-02-01,0
1856-03-01,0
1856-04-01,0
1856-05-01,0
1856-06-01,0
1856-07-01,0
1856-08-01,0
1856-09-01,0
1856-10-01,0
1856-11-01,0
1856-12-01,0
1857-01-01,0
1857-02-01,0
1857-03-01,0
1857-04-01,0
1857-05-01,0
1857-06-01,0
1857-07-01,1
1857-08-01,1
1857-09-01,1
1857-10-01,1
1857-11-01,1
1857-12-01,1
1858-01-01,1
1858-02-01,1
1858-03-01,1
1858-04-01,1
1858-05-01,1
1858-06-01,1
1858-07-01,1
1858-08-01,1
1858-09-01,1
1858-10-01,1
1858-11-01,1
1858-12-01,1
1859-01-01,0
1859-02-01,0
1859-03-01,0
1859-04-01,0
1859-05-01,0
1859-06-01,0
1859-07-01,0
1859-08-01,0
1859-09-01,0
1859-10-01,0
1859-11-01,0
1859-12-01,0
1860-01-01,0
1860-02-01,0
1860-03-01,0
1860-04-01,0
1860-05-01,0
1860-06-01,0
1860-07-01,0
1860-08-01,0
1860-09-01,0
1860-10-01,0
1860-11-01,1
1860-12-01,1
1861-01-01,1
1861-02-01,1
1861-03-01,1
1861-04-01,1
1861-05-01,1
1861-06-01,1
1861-07-01,0
1861-08-01,0
1861-09-01,0
1861-10-01,0
1861-11-01,0
1861-12-01,0
1862-01-01,0
1862-02-01,0
1862-03-01,0
1862-04-01,0
1862-05-01,0
1862-06-01,0
1862-07-01,0
1862-08-01,0
1862-09-01,0
1862-10-01,0
1862-11-01,0
1862-12-01,0
1863-01-01,0
1863-02-01,0
1863-03-01,0
1863-04-01,0
1863-05-01,0
1863-06-01,0
1863-07-01,0
1863-08-01,0
1863-09-01,0
1863-10-01,0
1863-11-01,0
1863-12-01,0
1864-01-01,0
1864-02-01,0
1864-03-01,0
1864-04-01,0
1864-05-01,0
1864-06-01,0
1864-07-01,0
1864-08-01,0
1864-09-01,0
1864-10-01,0
1864-11-01,0
1864-12-01,0
1865-01-01,0
1865-02-01,0
1865-03-01,0
1865-04-01,0
